phrase,count_cum,per_million_cum,frequency,category,bin_edges
" Astana,",10630,0.03544600693495957,10630,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Asunción,21617,0.07208243950263604,21617,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Athens,1059536,3.5330498968804633,1059536,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Athens,",277624,0.9257443301327579,277624,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Baghdad,663195,2.211440693248402,663195,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Baghdad,",138403,0.46150834410340635,138403,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Baku,124136,0.4139346676272946,124136,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Baku,",25266,0.08425012335077033,25266,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Bamako,34493,0.11501779089440833,34493,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Bangkok,471449,1.5720587510329027,471449,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Bangkok,",106478,0.35505361490316323,106478,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Bangui,20161,0.06722737025547694,20161,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Banjul,8862,0.02955056570626639,8862,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Basseterre,3449,0.011500778731766281,3449,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Beijing,1957823,6.528410878214802,1957823,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Beijing,",396147,1.3209623056691844,396147,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Beirut,316580,1.0556441086989183,316580,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Belgrade,241731,0.8060582034237734,241731,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Belgrade,",57968,0.19329577892810315,57968,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Belmopan,5406,0.01802644529542723,5406,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Berlin,3225252,10.754685301880736,3225252,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Berlin,",812565,2.709518779407848,812565,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Bern,1959954,6.535516752229704,1959954,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Bern,",57859,0.1929323156396826,57859,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Bissau,17916,0.05974136032424607,17916,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Bogotá,81964,0.27331105478993667,81964,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Brasília,54235,0.1808479949310943,54235,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Bridgetown,16953,0.056530212188934115,16953,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Brussels,933042,3.1112524179311896,933042,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Brussels,",185693,0.6191980588686216,185693,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Bucharest,160144,0.5340042647781905,160144,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Bucharest,",48877,0.16298160686359536,48877,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Budapest,386767,1.2896844557115248,386767,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Budapest,",101657,0.3389778670731124,101657,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Buenos Aires,418678,1.396092501553622,418678,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Buenos Aires,",126704,0.4224977293214598,126704,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Cairo,729138,2.431329313691679,729138,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Cairo,",164226,0.5476157982032617,164226,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Canberra,315801,1.053046513270665,315801,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Caracas,163266,0.5444146536446951,163266,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Castries,9599,0.0320081110600825,9599,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Castries,",2779,0.009266646591933457,2779,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Conakry,14785,0.049300960727504915,14785,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Copenhagen,571382,1.905287896002923,571382,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Copenhagen,",139327,0.46458944574102656,139327,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Dakar,101515,0.33850436444049115,101515,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Dakar,",27057,0.09022225866784582,27057,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Damascus,515616,1.7193347424060315,515616,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Damascus,",113316,0.37785510083178536,113316,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Dhaka,162958,0.5433876197654884,162958,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Dhaka,",37360,0.12457787573754371,37360,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Dili,18005,0.06003813310102983,18005,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Dili,",3527,0.011760871727149803,3527,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Dodoma,6407,0.021364305402849105,6407,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Dodoma,",1257,0.004191498656372924,1257,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Doha,166579,0.5554619368973311,166579,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Doha,",39612,0.13208722734784745,39612,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Dublin,1287083,4.291811189451417,1287083,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Dublin,",261200,0.8709780819766172,261200,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Freetown,42159,0.14058026400479404,42159,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Funafuti,3712,0.01237775895979021,3712,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Gaborone,13348,0.04450924746640079,13348,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Georgetown,434741,1.4496549859747188,434741,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Georgetown,",63699,0.21240594503762839,63699,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Gitega,1049,0.0034979173353501965,1049,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Guatemala City,28202,0.09404029045905266,28202,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Guatemala City,",7831,0.026112669831389313,7831,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Hanoi,236527,0.7887053322958779,236527,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Hanoi,",44369,0.1479495655406605,44369,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Harare,70558,0.2352774560034692,70558,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Harare,",17998,0.060014791421956946,17998,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Havana,340220,1.1344722934536167,340220,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Havana,",78647,0.26225043343497323,78647,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Helsinki,657893,2.193761038613486,657893,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Helsinki,",110049,0.366961205755914,110049,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Honiara,7966,0.026562830784937718,7966,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Islamabad,217564,0.7254727236874454,217564,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Islamabad,",42284,0.14099707970252404,42284,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Jakarta,266775,0.8895680620953753,266775,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Jakarta,",59668,0.1989644724172312,59668,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Juba,53024,0.17680988445148602,53024,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Juba,",10832,0.03611958110249126,10832,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Kabul,316803,1.0563877079036688,316803,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Kabul,",70968,0.2366446114920236,70968,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Kampala,78809,0.26279062657923136,78809,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Kampala,",24971,0.08326643830412751,24971,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Kathmandu,169966,0.5667559750430234,169966,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Kigali,43150,0.14388477885639753,43150,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Kingston,428182,1.42778383268343,428182,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Kingston,",103613,0.34550019911119156,103613,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Kingstown,18420,0.06142196121749344,18420,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Kingstown,",6069,0.02023723575618717,6069,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Kuwait City,11108,0.037039910163079115,11108,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Kuwait City,",3044,0.010150295871121066,3044,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Kyiv,119246,0.39762883753209677,119246,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Kyiv,",21097,0.07034848620007922,21097,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 La Paz,82053,0.2736078275667204,82053,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Libreville,9473,0.03158796083677065,9473,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Lilongwe,12153,0.04052448939610195,12153,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Lima,374310,1.2481462705385433,374310,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Lima,",105673,0.35236932180978203,105673,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Lisbon,436913,1.4568975755384752,436913,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Lisbon,",90860,0.30297499436598563,90860,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Lomé,16572,0.05525975794225306,16572,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 London,14378014,47.94385549905417,14378014,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" London,",2844725,9.485808285799894,2844725,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Luanda,28554,0.09521404346386035,28554,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Luanda,",8167,0.027233070426887565,8167,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Lusaka,35267,0.11759871369475251,35267,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Luxembourg,356335,1.188208173204969,356335,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Luxembourg,",79530,0.26519481952373797,79530,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Madrid,1502316,5.009511134007593,1502316,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Madrid,",345218,1.1511382523116531,345218,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Majuro,6825,0.02275813709605824,6825,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Majuro,",1634,0.005448614800726617,1634,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Malabo,5224,0.017419561639532344,5224,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Malabo,",1301,0.004338217781973885,1301,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Malé,8579,0.028606894966605657,8579,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Malé,",1171,0.0039047294563346814,1171,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Managua,33777,0.11263027057781087,33777,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Managua,",10491,0.03498250787908381,10491,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Manama,19387,0.06464644745513276,19387,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Manama,",6490,0.021641071026141826,6490,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Manila,476941,1.5903719655283681,476941,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Manila,",92541,0.3085803318690587,92541,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Maputo,26594,0.0886783733234539,26594,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Maputo,",7023,0.023418373161262565,7023,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Maseru,5047,0.016829350611546657,5047,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Mbabane,3247,0.010827204564234593,3247,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Mexico City,462200,1.5412177239264642,462200,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Mexico City,",96354,0.32129487791261474,96354,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Minsk,142190,0.4741361924818346,142190,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Monaco,317542,1.0588519223086486,317542,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Monaco,",65401,0.21808130757792013,65401,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Monrovia,54140,0.18053121500081948,54140,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Montevideo,75023,0.25016611272638495,75023,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Montevideo,",23642,0.07883485380586211,23642,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Moroni,34887,0.1163315939736533,34887,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Moroni,",8013,0.026719553487284203,8013,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Moscow,2340817,7.805514168906045,2340817,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Moscow,",408623,1.3625638468282206,408623,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Muscat,90930,0.3032084111567144,90930,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Muscat,",14898,0.04967776211825284,14898,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Nairobi,254799,0.8496337837272591,254799,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Nassau,225246,0.7510885492071405,225246,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Nassau,",32261,0.10757512979574137,32261,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 New Delhi,500949,1.6704272556971838,500949,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" New Delhi,",119519,0.39853916301593917,119519,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Niamey,11331,0.03778350936782944,11331,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Nicosia,44989,0.15001697140140133,44989,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Oslo,439799,1.4665210163676654,439799,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Oslo,",98777,0.3293744333974131,98777,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Ottawa,964609,3.2165133869731344,964609,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Ottawa,",175221,0.5842789069755927,175221,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Palikir,403,0.001343813809481534,403,ultra_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Panama City,74548,0.2485822130750109,74548,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Panama City,",22822,0.07610054282875328,22822,high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Paramaribo,7114,0.023721814989210006,7114,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Paris,7025982,23.42831671654761,7025982,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Paris,",1583813,5.281264965350811,1583813,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Podgorica,14480,0.04828393042504371,14480,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Port Louis,7111,0.023711811412464485,7111,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Port Louis,",2222,0.007409315842848558,2222,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Port Vila,6620,0.022074559351781032,6620,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Port of Spain,15979,0.05328238427222192,15979,very_high,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
 Prague,544312,1.8150222885025131,544312,low,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
" Prague,",125916,0.41987012316296984,125916,medium,"[55.0, 1790.6000000000006, 17986.600000000002, 64048.19999999999, 215652.4000000001, 14378014.0]"
